Id	LibraryName	UserInputPattern	SystemMessage	PatternAtt	Type	Owner
6723	CustomerQueryState	$qualifier $usecase $industry	Check these.		CustomerQuery.ClassMember	User
6724	CustomerQueryState	$qualifier $actionwords $usecase $industry	Check these.		CustomerQuery.ClassMember	User
6725	CustomerQueryState	$qualifier $usecase $industry	Check these.		CustomerQuery.ClassMember	User
6726	CustomerQueryState	$qualifier $actionwords $usecase $industry	Check these.		CustomerQuery.ClassMember	User
6727	CustomerQueryState	$qualifier $actionwords $product $industry	Check these.		CustomerQuery.ClassMember	User
6733	CustomerQueryState	$actionwords $businessUsecase $industry	Check these.		CustomerQuery.ClassMember	User
6734	CustomerQueryState	$qualifier $businessUsecase $industry	Check these.		CustomerQuery.ClassMember	User
6735	CustomerQueryState	$qualifier $actionwords $businessUsecase $industry	Check these.		CustomerQuery.ClassMember	User
6736	CustomerQueryState	$qualifier $businessUsecase $industry	Check these.		CustomerQuery.ClassMember	User
6737	CustomerQueryState	$qualifier $actionwords $businessUsecase $industry	Check these.		CustomerQuery.ClassMember	User
6738	CustomerQueryState	$qualifier $actionwords $businessUsecase	Check these.		CustomerQuery.ClassMember	User
6739	CustomerQueryState	$actionwords $businessUsecase	Check these.		CustomerQuery.ClassMember	User
6740	CustomerQueryState	$qualifiers $businessUsecase	Check these.		CustomerQuery.ClassMember	User
6741	CustomerQueryState	$actionwords $businessUsecase $actionwords $product	Check these.		CustomerQuery.ClassMember	User
6742	CustomerQueryState	$actionwords $product $actionwords $businessUsecase	Check these.		CustomerQuery.ClassMember	User
6743	CustomerQueryState	$qualifier $businessUsecase $actionwords $product	Check these.		CustomerQuery.ClassMember	User
6744	CustomerQueryState	$actionwords $region $qualifier $product	Check these.		CustomerQuery.ClassMember	User
6745	CustomerQueryState	$count $product $countactions $product	Check these.		CustomerQuery.ClassMember.Count	User
6746	CustomerQueryState	$count $product $countactions $region	Check these.		CustomerQuery.ClassMember.Count	User
6747	CustomerQueryState	$count $product $countactions $industry	Check these.		CustomerQuery.ClassMember.Count	User
6748	CustomerQueryState	$count $product $countactions	Check these.		CustomerQuery.ClassMember.Count	User
6749	CustomerQueryState	$count $product	Check these.		CustomerQuery.ClassMember.Count	User
6750	CustomerQueryState	$count $product $countactions $country	Check these.		CustomerQuery.ClassMember.Count	User
6751	ResultState		%Number Customers and counting. BTW I can also tell you who they are. Ask me following-- Show me all ADW customers :) 		Result.Count	System
6752	CustomerQueryState	$actionwords $product customer $verb $country	Check these.		CustomerQuery.ClassMember	User
6753	CustomerQueryState	$actionwords $product $actionwords $country	Check these.		CustomerQuery.ClassMember	User
6754	CustomerQueryState	$product $actionwords $country	Check these.		CustomerQuery.ClassMember	User
